merchant_description,merchant_token,mcc,city,country,amount,date,predicted_main_category,predicted_main_category_description,predicted_subcategory,predicted_subcategory_description,predicted_sub_subcategory,confidence,classification_source,matched_by,manually_curated
SMART BAZAAR,smart bazaar,5722,NEW DELHI,IN,29.63,7/11/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Household Appliance Stores,0.95,rule_based,mcc_rule,no
O17413243392296676 APP BR,,9311,TORINO,IT,114.72,24/3/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
PAYPAL *SIA AISYS,paypal sia aisys,5970,35314369001,LV,54.38,13/12/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
QATAR AIR0002322711784,qatar,3136,DOHA,FR,105.16,2/2/2026,travel & airlines,Airlines,airlines,Individual airline merchant codes,,0.95,rule_based,mcc_rule,no
TCL 69 LYO,tcl lyo,4111,V25296001148�,FR,57.81,19/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
A1B17 SPORTS,sports,4899,DUBLIN 4,IE,128.46,27/1/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
WWW.AMAZON* 404-134492,amazon,5399,14018657948,LU,109.56,11/12/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
AKVARISTIKA KRMIVA,akvaristika krmiva,5995,VLASIM,CZ,65.21,7/2/2026,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
GOPAY  *PLNAMISKA.SK,gopay plnamiska,742,ZILINA,SK,90.63,14/12/2025,,,agricultural services,"Farming, veterinary services, horticulture, agricultural cooperatives",Veterinary Services,0.0,rule_based,,no
KLUB KWADRAT,klub kwadrat,5813,KRAKOW,PL,42.46,15/10/2025,bars & alcohol,Bars,restaurants,"Restaurants, bars, fast food",Bars / Taverns,0.95,rule_based,mcc_rule,no
XENOS AMERSFOORT,xenos amersfoort,5200,AMERSFOORT,NL,87.49,9/10/2025,,,wholesale,"Durable goods wholesalers, industrial equipment",Home Supply Warehouse Stores,0.0,rule_based,,no
LIME*RIDE FPZY,lime ride fpzy,4789,WALLISELLEN,CH,29.6,15/12/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
LIME*2 TURER NFRZ,lime turer nfrz,4789,3.51309E+11,PT,95.1,1/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
HYPEDROP,hypedrop,7994,6451269,CY,118.68,25/9/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",,0.95,rule_based,mcc_rule,no
WM MORRISONS STORE,morrisons,5411,KIDDERMINST,GB,195.98,19/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
TRANSFERGO*OLHA*CHYICHUK,transfergo olha chyichuk,4829,VISA DIRECT,LT,27.34,2/3/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Money Transfer,0.95,rule_based,mcc_rule,no
VOYO.SK 6037948918,voyo,4899,BRATISLAVA,SK,148.15,12/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
FAMAGUSTA TENNIS CLUB,famagusta tennis club,7997,LIMASSOL,CY,28.5,12/11/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Membership Clubs,0.95,rule_based,mcc_rule,no
SOLEIL DU JARDIN,soleil jardin,5812,PARIS,FR,80.78,24/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
DD * DOORDASH INDIANSWE,doordash indianswe,5734,WELLINGTON,NZ,77.38,18/10/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
CHOP CHOP CHILI,chop chili,5812,PRAHA 6,CZ,118.37,22/12/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
PAR*FOGO LOS ANGELES,par fogo los angeles,5812,LOS ANGELES,US,86.81,27/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
32ROSU,,7995,2615061492,MT,19.73,13/10/2025,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
GOPAY  *FILMNADVD.CZ,gopay filmnadvd,5735,TRHOVE SVINY,CZ,82.52,5/12/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",,0.95,rule_based,mcc_rule,no
TOTAL DEUTSCHLAND GMBH,total deutschland gmbh,5541,HAMBURG,DE,147.57,19/10/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
TOOGOODT SMCK2YFGKC0N0,toogoodt,5812,TOOGOODTOGO.E,DK,159.53,2/2/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
LIME*TRAJET JP34,lime trajet,4789,PARIS,FR,10.54,10/2/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
DXDV1YTPRLUL#TISSEO.FR,tisseo,4111,TOULOUSE CEDE,FR,180.67,15/11/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
VILL.-CAMP.  18:16:43,vill camp,4784,LLANERA,ES,67.26,22/2/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
AVM 1KDAITY5EJHGXXW,avm,4111,VENEZIA,IT,74.26,27/1/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
ARMAGH CITY HOTEL,armagh city hotel,7011,ARMAGH,GB,118.04,21/11/2025,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
FOODORA_AT_CL8C-2530-U,foodora,5499,WIEN,AT,73.17,7/1/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
ACS*86355174 ORTEL,acs ortel,4814,ROTTERDAM,NL,37.86,13/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Telecommunication Services,0.95,rule_based,mcc_rule,no
FOODORA_AT_EPD8-2503-0,foodora,5499,WIEN,AT,191.06,24/3/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
CHASER,chaser,5734,LONDON,GB,128.32,13/2/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
GOOGLE *SERVICES,google services,5816,INTERNET,CA,49.95,30/1/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
STOCKL SPOL. S.R.O.,stockl spol,5995,PRAHA 4 - KRC,CZ,15.96,15/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",,0.0,rule_based,,no
LIME*FAHRT FOVH,lime fahrt fovh,4789,WIEN,AT,117.13,8/10/2025,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
FOODORA_AT_YVID-2516-R,foodora yvid,5499,WIEN,AT,69.12,21/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
FORNETTI,fornetti,5462,SALGOTARJAN,HU,5.62,16/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Bakeries,0.95,rule_based,mcc_rule,no
LA GUERITE PLAGE,guerite plage,5812,SAINT BARTHEL,GP,181.69,25/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
ALBERT VAM DEKUJE,albert vam dekuje,5411,JIHLAVA,CZ,133.12,8/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
COOP HONI JOKER 10.,coop honi joker,5411,ESZTERGOM,HU,113.21,13/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
ETSY.COM*LEKACUSTOM,etsy lekacustom,5399,LONDON,GB,146.19,24/11/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
AMAZON UK* R422C1D65,amazon,5399,LONDON,GB,65.2,29/9/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
XSOLLA,xsolla,5816,8545CODE,CY,118.95,11/3/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
O17436315935441561 APP BR,,9311,TORINO,IT,7.05,7/2/2026,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
BKG*HOTEL AT BOOKING.C,bkg hotel booking,4722,(888)850-3958,NL,5.09,19/2/2026,travel & airlines,Travel agencies,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.95,rule_based,mcc_rule,no
AMAZON UK* ZR15N5ZX4,amazon,5399,LONDON,GB,116.82,26/9/2025,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
DELIJN##HASH##,delijn hash,4111,DL L6OQEXU4,BE,171.46,19/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Local/Suburban Transportation,0.95,rule_based,mcc_rule,no
CMT UK LTD TAXI FARE,cmt ltd taxi fare,4121,LONDON,GB,51.44,13/2/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
LIME*3 RIDES DNTH,lime rides dnth,4789,4.96977E+11,DE,179.93,20/1/2026,,,transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",,0.0,rule_based,,no
GOPAY  *PRACEZAROHEM.CZ,gopay pracezarohem,5734,PRACEZAROHEM.,CZ,36.87,25/10/2025,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
TXW*LONDON TAXI 80629,txw london taxi,4121,GLASGOW,GB,145.08,3/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
O17561938967969752 APP BR,,9311,TORINO,IT,29.53,5/11/2025,government and taxes,"Taxes, fines, government services",government payments,"Taxes, fees",Tax Payments,0.95,rule_based,mcc_rule,no
FOODORA_AT_ZBU1-2525-6,foodora,5499,WIEN,AT,150.39,18/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
ORDER O-Y4G97WA,,5816,VILNIUS,LT,91.27,20/11/2025,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
SPORTSDIRECT.COM POLU,sportsdirect polu,5941,BUDAPEST,HU,69.35,6/10/2025,,,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Sporting Goods Stores,0.0,rule_based,,no
CASA BELLA BAKERY,casa bella bakery,5812,SANT CARLES D,ES,103.07,7/10/2025,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
LIDL SAGT DANKE,lidl sagt danke,5411,BRUCHSAL,DE,162.38,18/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
2246F SKY SPOR,sky spor,4899,DUBLIN 4,IE,62.35,29/10/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
ASDA SUPERSTORE,asda superstore,5411,DAGENHAM,GB,140.03,19/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
SKYSHOWTIME F8994 SHOW,skyshowtime show,4899,AMSTERDAM,NL,99.72,15/12/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
ALBERT HEIJN 5607,albert heijn,5411,AMSTERDAM,NL,85.28,7/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
TESCO 44058 O:NKISZOLG,tesco nkiszolg,5311,CELLDOMOLK,HU,191.67,2/3/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule,no
SKYSHOWTIME 13CE0 SHOW,skyshowtime show,4899,AMSTERDAM,NL,168.91,18/11/2025,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
RUNCOMFY.COM,runcomfy,5734,LAS VEGAS,US,164.22,21/1/2026,electronics & home,"Electronics, furniture, home stores",home & electronics,"Furniture, appliances, electronics stores",Computer Software Stores,0.95,rule_based,mcc_rule,no
MOL*WUTSCHER OPTIK KG,mol wutscher optik,8043,43316392191,AT,75.76,2/10/2025,health & pharmacy,Medical and health services,healthcare,"Doctors, dentists, hospitals",Opticians,0.95,rule_based,mcc_rule,no
AMAZON UK* ZP7R28J34,amazon,5399,LONDON,GB,37.78,22/3/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
MAGASIN KGS NYTORV,magasin kgs nytorv,5311,KOEBENHAVN K,DK,158.36,6/2/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Department Stores,0.95,rule_based,mcc_rule,no
UBER *KURE8KOMBUCHA,uber,5812,NEW TAIPEI,TW,194.66,27/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
LIME*ADD BALANCE OVMO,lime add balance ovmo,7519,BULGARIA,BG,79.36,26/10/2025,,,repair services,"Automotive repair, equipment maintenance",,0.0,rule_based,,no
D6E99 SPORTS,sports,5815,DUBLIN 4,IE,15.95,10/3/2026,,,digital goods,"Apps, games, software, digital content",,0.0,rule_based,,no
HOTEL EDELWEISS,hotel edelweiss,7011,GENÈVE,CH,190.33,16/3/2026,hotels & accommodation,"Hotels, resorts",personal services,"Hotels, laundry, beauty services, personal care",Hotels / Motels,0.95,rule_based,mcc_rule,no
PAF,paf,7995,ALAND,FI,79.14,23/2/2026,entertainment & leisure,"Cinemas, gaming, amusement, recreation",entertainment & recreation,"Gambling, cinemas, amusement parks, sports",Betting / Gambling,0.95,rule_based,mcc_rule,no
BOLT.EU/O/2405111153,bolt,4121,TALLINN,EE,43.52,16/12/2025,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
OLYMPIA-APOTHEKE,olympia apotheke,5912,Z RICH,CH,115.36,20/1/2026,health & pharmacy,Pharmacies,retail specialty,"Drugstores, liquor stores, hobby shops, bookstores",Pharmacies,0.95,rule_based,mcc_rule,no
SHELL TANKST LANGENWAN,shell tankst langenwan,5541,LANGENWANG,AT,30.8,5/2/2026,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
FOODORA_AT_F3Y9-2424-S,foodora,5499,WIEN,AT,70.61,17/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
ALBERT HEIJN 1300,albert heijn,5411,S-GRAVENHAGE,NL,150.02,9/10/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
AMAZON UK* ZP4PE6AV4,amazon,5399,LONDON,GB,31.55,24/3/2026,shopping,"Department stores, general retail",wholesale,"Durable goods wholesalers, industrial equipment",Misc. General Merchandise,0.95,rule_based,mcc_rule,no
ENI 2004,eni,5541,SAALFELDEN,AT,77.11,1/12/2025,fuel & automotive,"Gas Stations, Auto dealers, automotive services",wholesale,"Durable goods wholesalers, industrial equipment",Service Stations (Fuel),0.95,rule_based,mcc_rule,no
PVH BRANDS AUSTRIA GMB,pvh brands austria gmb,5651,BERGHEIM BEI,AT,169.09,1/11/2025,clothing & apparel,Clothing stores,apparel,"Clothing stores, shoe stores, specialty apparel",Family Clothing Stores,0.95,rule_based,mcc_rule,no
FOODORA_AT_FT8C-WR0C,foodora,5499,WIEN,AT,47.47,23/11/2025,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Misc Food Stores,0.95,rule_based,mcc_rule,no
99* POP 27NOV 13H06MIN,pop,4121,SAO PAULO,BR,33.1,5/3/2026,transport & taxis,"Taxi, public transport",transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies",Taxi Services,0.95,rule_based,mcc_rule,no
LIDL SAGT DANKE,lidl sagt danke,5411,KIEL,DE,110.48,23/2/2026,groceries,"Grocery stores, supermarkets",wholesale,"Durable goods wholesalers, industrial equipment",Grocery Stores / Supermarkets,0.95,rule_based,mcc_rule,no
WIRTSHAUS FESCH,wirtshaus fesch,5812,MUENCHEN,DE,38.75,18/1/2026,restaurants & dining,"Restaurants, cafes, fast food",restaurants,"Restaurants, bars, fast food",Restaurants,0.95,rule_based,mcc_rule,no
SKYSHOWTIME DF277 STAN,skyshowtime stan,4899,AMSTERDAM,NL,95.24,13/2/2026,bills and utilities,"Electricity, telecom, utilities",utilities & telecom,"Telecommunications, cable TV, internet services, utilities",Cable / Satellite Services,0.95,rule_based,mcc_rule,no
